立案时间,火警地址,火警类型,所属大队,所属街道,实/虚警,所属队站,备注内容,微站,微站调派时间,微站出动时间,微站到场时间,微站出动用时,中队到场时间,微站出水情况,微站处置,建筑物内/外,中队出动时间
4/22/2025 10:15,浦东新区 上钢新村街道 灵岩路56弄68号常德居民区党群服务站（误报）,居民,世博大队（七大队）,上钢新村街道,虚警,周渡站,误报,上钢六村微站,4/22/2025 10:16,4/22/2025 10:17,4/22/2025 10:26,80.0,4/22/2025 10:27,否,了解情况,内,4/22/2025 10:15
4/22/2025 8:51,浦东新区 高桥镇 浦东北路 靠近 草高支路 路口往南10米（误报）（到场未处置）,车辆,保税大队（四大队）,高桥镇,虚警,高桥站,误报,陆凌村微站,4/22/2025 8:52,4/22/2025 8:53,4/22/2025 8:57,28.0,4/22/2025 8:57,否,了解情况,外,4/22/2025 8:52
4/21/2025 23:42,浦东新区 金杨新村街道 浦东大道2641弄（寺前浜小区）15号（居民处置）（到场处置）,居民,陆家嘴大队（一大队）,金杨新村街道,实警,庆宁站,居民烧2楼平台电线,黄山微站,4/21/2025 23:43,4/21/2025 23:44,4/21/2025 23:48,74.0,4/21/2025 23:45,否,了解情况,外,4/21/2025 23:43
4/21/2025 22:34,浦东新区 南汇新城镇 潮乐路芦硕路口（误报）（到场未处置）,电线,临港大队（九大队）,南汇新城镇,虚警,芦潮港站,误报，无着火冒烟,芦潮港微站,4/21/2025 22:35,4/21/2025 22:37,4/21/2025 22:40,92.0,4/21/2025 22:40,否,了解情况,外,4/21/2025 22:34
4/21/2025 14:34,浦东新区 外高桥保税区 德堡路 靠近 日樱南路（驻防车出动）（误报）（到场未处置）,车辆,保税大队（四大队）,保税自贸区,虚警,保税站,车辆发动机冒烟，无着火,宝佳苑微站,4/21/2025 14:36,4/21/2025 14:37,4/21/2025 14:47,70.0,4/21/2025 14:49,否,了解情况,外,4/21/2025 14:36
4/21/2025 14:00,浦东新区 惠南镇 通济路1279弄秀沿北苑8号17楼（误报）（到场未处置）,居民,惠南大队（八大队）,惠南镇,虚警,祝桥站,锅子烧焦，无着火,南门微站,4/21/2025 14:01,4/21/2025 14:02,4/21/2025 14:08,59.0,4/21/2025 14:10,否,了解情况,内,4/21/2025 14:00
4/21/2025 9:21,浦东新区 陆家嘴街道 昌邑路55弄（浦江茗园）3号302室（误报）（到场未处置）,居民,陆家嘴大队（一大队）,陆家嘴街道,虚警,铜山站,锅子烧糊，无着火,潍坊西站微站,4/21/2025 9:22,4/21/2025 9:23,4/21/2025 9:28,57.0,4/21/2025 9:31,否,了解情况,内,4/21/2025 9:21
4/21/2025 8:43,浦东新区 高桥镇 S20内圈 不到江东路出口600米（消防处置）（到场处置）,车辆,保税大队（四大队）,高桥镇,实警,高桥站,烧一辆新能源车,凌桥专职队,4/21/2025 8:59,4/21/2025 8:59,4/21/2025 9:04,20.0,4/21/2025 8:49,否,了解情况,外,4/21/2025 8:44
4/21/2025 7:19,浦东新区 三林镇 三彩路166弄（士韵家园）23号楼3楼物业值班室（消防处置）（到场处置）,居民,三林大队（六大队）,三林镇,实警,前滩站,烧3楼物业办公室内家具,懿德微站,4/21/2025 7:21,4/21/2025 7:23,4/21/2025 7:28,120.0,4/21/2025 7:29,是,堵截,内,4/21/2025 7:20
4/21/2025 7:10,浦东新区 南码头路街道 （无门牌号）东三小区 5栋1单元302室（误报）（到场未处置）,居民,世博大队（七大队）,南码头路街道,虚警,临沂站,误报，无着火冒烟,临沂六村微站,4/21/2025 7:11,4/21/2025 7:12,4/21/2025 7:19,45.0,4/21/2025 7:16,否,了解情况,内,4/21/2025 7:11
4/21/2025 6:11,浦东新区祝桥镇 晨阳西路 靠近 江绣路 往北200米（消防处置）（到场处置）,车辆,惠南大队（八大队）,祝桥镇,实警,江镇站,烧车厢后面的杂物,祝桥专职队,4/21/2025 6:12,4/21/2025 6:13,4/21/2025 6:16,20.0,4/21/2025 6:17,否,监护,外,4/21/2025 6:11
4/21/2025 1:41,浦东新区 川沙新镇 华东路 靠近 新川路口  南面（消防处置）（到场处置）,杂物,川沙大队（三大队）,川沙新镇,虚警,川沙站,室外树林烧杂物,城厢南市微站,4/21/2025 1:42,4/21/2025 1:44,4/21/2025 1:51,119.0,4/21/2025 1:52,是,堵截,外,4/21/2025 1:42
4/20/2025 22:18,浦东新区 航头镇 瑞和路 靠近 瑞浦路（驻防车出动）（消防处置）（到场处置）,车辆,三林大队（六大队）,航头镇,实警,航头站,路边烧车辆引擎盖,沈庄微站,4/20/2025 22:19,4/20/2025 22:20,4/20/2025 22:24,36.0,4/20/2025 22:28,是,堵截,外,4/20/2025 22:19
4/20/2025 19:45,浦东新区 宣桥镇 航三路 轨道十六号线野生动物园站往东100米（误报）,居民,惠南大队（八大队）,宣桥镇,虚警,惠南站,误报，之前的警情，报警人想要排查着火原因,宣桥专职队,4/20/2025 19:47,4/20/2025 19:48,4/20/2025 19:59,12.0,4/20/2025 20:01,否,了解情况,外,4/20/2025 19:46
4/20/2025 18:38,浦东新区 宣桥镇项埭村4队4组440号 近航三路（消防处置）（到场处置）,杂物,惠南大队（八大队）,宣桥镇,实警,惠南站,烧室外废弃集装箱外面的广告牌,艺泰安邦微站,4/20/2025 18:39,4/20/2025 18:40,4/20/2025 18:49,59.0,4/20/2025 18:51,是,堵截,外,4/20/2025 18:38
4/20/2025 18:22,浦东新区 北蔡镇 北艾路1200弄（大华锦绣华城第九街区）侧门口（祭祀）（误报）,杂物,三林大队（六大队）,北蔡镇,虚警,塘东站,室外烧祭祀品,由由微站,4/20/2025 18:23,4/20/2025 18:24,4/20/2025 18:28,55.0,4/20/2025 18:33,否,了解情况,外,4/20/2025 18:22
4/20/2025 17:34,浦东新区 祝桥镇 航城三路675弄(盛世联弈苑)40号1001室（消防处置）（到场处置）,居民,惠南大队（八大队）,祝桥镇,实警,江镇站,居民家中烧锅子,祝桥专职队,4/20/2025 17:35,4/20/2025 17:36,4/20/2025 17:40,15.0,4/20/2025 17:52,否,了解情况,内,4/20/2025 17:35
4/20/2025 17:27,浦东新区 花木街道 严杨路166弄3号601室（误报）,居民,陆家嘴大队（一大队）,花木街道,虚警,塘东站,居民楼道烧祭祀品,由由微站,4/20/2025 17:28,4/20/2025 17:28,4/20/2025 17:31,8.0,4/20/2025 17:33,否,了解情况,内,4/20/2025 17:27
4/20/2025 16:57,浦东新区 祝桥镇 航殷路67号门口（消防处置）（到场处置）,车辆,惠南大队（八大队）,祝桥镇,实警,江镇站,室外烧车辆,城厢南市微站,4/20/2025 16:58,4/20/2025 17:02,4/20/2025 17:08,225.0,4/20/2025 17:07,是,协助灭火,外,4/20/2025 16:58
4/20/2025 16:51,浦东新区 三林镇 海阳路860弄32号门口(东旺名苑)（祭扫）（误报）,杂物,三林大队（六大队）,三林镇,虚警,永泰站,室外烧祭祀品,杨东微站,4/20/2025 16:51,4/20/2025 16:52,4/20/2025 17:01,66.0,4/20/2025 17:04,否,警戒,外,4/20/2025 16:51
4/20/2025 16:30,浦东新区 曹路镇 华谐路198弄15号702室（误报）,居民,外高桥大队（五大队）,曹路镇,虚警,曹路站,误报，无着火冒烟情况,民区路微站,4/20/2025 16:31,4/20/2025 16:31,4/20/2025 16:38,28.0,4/20/2025 16:41,否,了解情况,内,4/20/2025 16:30
4/20/2025 15:19,浦东新区 张江镇 紫薇路35弄(张江新苑)14号202室（祭扫）（误报）,居民,川沙大队（三大队）,张江镇,虚警,张江站,居民阳台烧祭祀品,川杨新苑社区微站,4/20/2025 15:21,4/20/2025 15:21,4/20/2025 15:26,17.0,4/20/2025 15:25,否,了解情况,内,4/20/2025 15:20
4/20/2025 14:38,浦东新区 南汇新城镇 堤顶路 靠近  南港大道（消防处置）（到场处置）,杂物,临港大队（九大队）,南汇新城镇,实警,滴水湖站,室外烧芦苇荡,方竹路微站,4/20/2025 14:40,4/20/2025 14:40,4/20/2025 14:54,36.0,4/20/2025 14:51,是,协助灭火,外,4/20/2025 14:39
4/20/2025 13:28,浦东新区 惠南镇 听谐路86弄民乐城锦苑4号1楼（误报）,居民,惠南大队（八大队）,惠南镇,虚警,惠南站,锅子烧干,南门微站,4/20/2025 13:29,4/20/2025 13:29,4/20/2025 13:36,11.0,4/20/2025 13:33,否,了解情况,内,4/20/2025 13:28
4/20/2025 13:21,浦东新区 祝桥镇 浦红西路 靠近 祝惠路（消防处置）（到场处置）,杂物,惠南大队（八大队）,祝桥镇,实警,祝桥站,室外烧垃圾,五角农贸微站,4/20/2025 13:23,4/20/2025 13:24,4/20/2025 13:31,100.0,4/20/2025 13:28,否,了解情况,外,4/20/2025 13:21
4/20/2025 13:14,浦东新区 曹路镇 顾唐路 靠近 仁安路（微站处置）（到场未处置）,杂物,外高桥大队（五大队）,曹路镇,实警,曹路站,室外烧杂物,新虹村微站,4/20/2025 13:14,4/20/2025 13:15,4/20/2025 13:21,20.0,4/20/2025 13:28,是,堵截,外,4/20/2025 13:14
4/20/2025 10:55,浦东新区 新场镇坦东村连南5组302号（专职队处置）（到场处置）,居民,惠南大队（八大队）,新场镇,实警,申江站,烧外搭的厨房内杂物,祝桥村微站,4/20/2025 10:56,4/20/2025 10:57,4/20/2025 11:06,50.0,4/20/2025 11:13,是,堵截,外,4/20/2025 10:56
4/20/2025 8:04,浦东新区 高东镇 光明路 靠近 光灿路（EB）（驻防车出动）（误报）（到场未处置）,车辆（电瓶车）,保税大队（四大队）,高东镇,虚警,保税站,路边停放的电瓶车短路冒烟，无着火,高东微站,4/20/2025 8:08,4/20/2025 8:08,4/20/2025 8:13,20.0,4/20/2025 8:17,否,了解情况,外,4/20/2025 8:04
4/20/2025 7:11,浦东新区 曹路镇 星火村陆家村45号农村自建房（消防处置）（到场处置）,居民,外高桥大队（五大队）,曹路镇,实警,曹路站,自建房烧1楼杂物间内杂物,虹星路微站,4/20/2025 7:12,4/20/2025 7:14,4/20/2025 7:33,127.0,4/20/2025 7:29,否,警戒,内,4/20/2025 7:12
4/20/2025 0:04,浦东新区 泥城镇 秋雨路573号耗生鲜虾烧烤店（误报）（到场未处置）,单位,临港大队（九大队）,泥城镇,虚警,泥城站,误报，无着火冒烟。,彭镇微站,4/20/2025 0:05,4/20/2025 0:06,4/20/2025 0:11,54.0,4/20/2025 0:10,否,警戒,内,4/20/2025 0:04
4/19/2025 22:26,浦东新区 祝桥镇 江通苑-江晖苑中间 桥下 河边（消防处置）（到场处置）,杂物,惠南大队（八大队）,祝桥镇,实警,江镇站,室外烧杂草,江镇微站,4/19/2025 22:28,4/19/2025 22:29,4/19/2025 22:36,25.0,4/19/2025 22:36,否,了解情况,外,4/19/2025 22:28
4/19/2025 19:28,浦东新区 航头镇  航头镇 航欣苑对面别墅区（驻防车出动）（误报）（到场未处置）,居民,三林大队（六大队）,航头镇,虚警,航头站,误报，无着火冒烟。,航南微站,4/19/2025 19:29,4/19/2025 19:33,4/19/2025 19:37,246.0,4/19/2025 19:34,否,了解情况,内,4/19/2025 19:29
4/19/2025 18:19,浦东新区 南汇新城镇 方竹路566弄51号1402室（误报）（到场处置）,居民,临港大队（九大队）,南汇新城镇,虚警,滴水湖站,烧锅子,方竹路微站,4/19/2025 18:19,4/19/2025 18:20,4/19/2025 18:23,59.0,4/19/2025 18:32,否,了解情况,内,4/19/2025 18:19
4/19/2025 18:05,浦东新区 曹路镇 上川路1760号（误报）（到场未处置）,电线,外高桥大队（五大队）,曹路镇,虚警,曹路站,误报，无着火。,上川路微站,4/19/2025 18:05,4/19/2025 18:07,4/19/2025 18:13,93.0,4/19/2025 18:15,否,了解情况,外,4/19/2025 18:05
4/19/2025 17:48,浦东新区 川沙新镇吴店村54号（误报）（到场未处置）,居民,川沙大队（三大队）,川沙新镇,虚警,六灶站,烧锅子,六团储店微站,4/19/2025 17:49,4/19/2025 17:50,4/19/2025 18:00,44.0,4/19/2025 18:00,否,了解情况,内,4/19/2025 17:48
4/19/2025 16:43,浦东新区 张江镇 紫薇路750弄兰沁苑19号楼（祭扫）（误报）（到场未处置）,杂物,川沙大队（三大队）,张江镇,虚警,张江站,烧祭祀,玉兰香苑微站,4/19/2025 16:44,4/19/2025 16:45,4/19/2025 16:52,35.0,4/19/2025 16:52,否,了解情况,内,4/19/2025 16:44
4/19/2025 15:58,浦东新区 南码头街道 东三街102弄 东三小区 44号602室（消防处置)（到场处置）,居民,世博大队（七大队）,南码头路街道,实警,临沂站,烤箱故障短路,东方城市花园微站,4/19/2025 16:00,4/19/2025 16:00,4/19/2025 16:05,53.0,4/19/2025 16:02,否,了解情况,内,4/19/2025 15:59
4/19/2025 14:51,浦东新区 金杨新村街道 金杨路308弄 金杨新村五街坊 44号103室（误报）,居民,陆家嘴大队（一大队）,金杨新村街道,虚警,庆宁站,误报，无着火冒烟。,枣庄微站,4/19/2025 14:51,4/19/2025 14:53,4/19/2025 15:02,116.0,4/19/2025 15:06,否,了解情况,内,4/19/2025 14:51
4/19/2025 14:10,浦东新区 上钢新村街道 齐河路10弄23号402室（误报）,居民,世博大队（七大队）,上钢新村街道,虚警,周渡站,晾晒的被子冒烟,雪野二村微站,4/19/2025 14:12,4/19/2025 14:12,4/19/2025 14:16,20.0,4/19/2025 14:21,否,了解情况,内,4/19/2025 14:11
4/19/2025 11:43,浦东新区 洋泾街道 羽山路1000弄泾苑小区27号502室（阳台）（消防处置）（到场处置）,居民,陆家嘴大队（一大队）,洋泾街道,实警,铜山站,阳台书冒烟,西塘家宅微站,4/19/2025 11:44,4/19/2025 11:45,4/19/2025 11:51,35.0,4/19/2025 11:57,否,了解情况,内,4/19/2025 11:44
4/19/2025 8:12,浦东新区 东明路街道 上浦路69弄27号602室（误报）（到场未处置）,居民,三林大队（六大队）,东明路街道,虚警,前滩站,误报，无着火。,前滩微站,4/19/2025 8:13,4/19/2025 8:14,4/19/2025 8:18,22.0,4/19/2025 8:17,否,了解情况,内,4/19/2025 8:13
4/19/2025 6:05,浦东新区 惠南镇 文益街79号 馋湘味绝无预制菜（误报）（到场未处置）,单位,惠南大队（八大队）,惠南镇,虚警,惠南站,无着火冒烟情况,海曲雅苑微站,4/19/2025 6:06,4/19/2025 6:07,4/19/2025 6:10,61.0,4/19/2025 6:13,否,了解情况,外,4/19/2025 6:05
4/19/2025 2:02,浦东新区 泥城镇 彩云路220弄（云帆花苑）11号202室（消防处置）（到场处置）,居民,临港大队（九大队）,泥城镇,实警,泥城站,烧厨房间橱柜和吊顶,云端路微站,4/19/2025 2:03,4/19/2025 2:02,4/19/2025 2:09,-64.0,4/19/2025 2:09,否,警戒,内,4/19/2025 2:02
4/18/2025 20:51,浦东新区 金杨新村街道 博山东路811弄(东方知音苑)85号室外门口（居民处置）（到场未处置）,杂物,陆家嘴大队（一大队）,金杨新村街道,实警,庆宁站,室外烧杂物,枣庄微站,4/18/2025 20:52,4/18/2025 20:53,4/18/2025 20:58,70.0,4/18/2025 21:00,否,了解情况,外,4/18/2025 20:52
4/18/2025 20:35,浦东新区 川沙新镇 川环南路 靠近 妙境路 西侧（误报）（到场未处置）,杂物,川沙大队（三大队）,川沙新镇,虚警,川沙站,误报无着火冒烟。,城厢南市微站,4/18/2025 20:35,4/18/2025 20:35,4/18/2025 20:43,9.0,4/18/2025 20:45,否,排查,外,4/18/2025 20:35
4/18/2025 19:43,浦东新区 北蔡镇 沪南路 往南 过成山路100米左右（EB）（微站处置）（到场处置）,车辆（电瓶车）,三林大队（六大队）,北蔡镇,实警,塘东站,路边烧一辆电瓶车,六里（杨莲)微站,4/18/2025 19:45,4/18/2025 19:45,4/18/2025 19:53,6.0,4/18/2025 19:56,是,出水处置,外,4/18/2025 19:43
4/18/2025 19:37,浦东新区 唐镇镇 春源路58弄（玉兰公馆）42号地下车库1层（误报）（到场未处置）,地下空间,川沙大队（三大队）,唐镇,虚警,唐镇站,地下车库配电间电表短路,龚卢路微站,4/18/2025 19:38,4/18/2025 19:40,4/18/2025 19:44,85.0,4/18/2025 19:44,否,警戒,内,4/18/2025 19:38
4/18/2025 19:00,浦东新区 川沙新镇 置业路111号3号楼1楼内（误报）,居民,川沙大队（三大队）,川沙新镇,虚警,川沙站,误报无着火冒烟,城厢南市微站,4/18/2025 19:01,4/18/2025 19:02,4/18/2025 19:08,48.0,4/18/2025 19:11,否,了解情况,内,4/18/2025 19:01
4/18/2025 18:58,浦东新区 三林镇 上南路3651弄(联丰新苑)54号601室（误报）,居民,三林大队（六大队）,三林镇,虚警,永泰站,烧锅子,杨东微站,4/18/2025 19:00,4/18/2025 19:00,4/18/2025 19:07,31.0,4/18/2025 19:10,否,了解情况,内,4/18/2025 18:59
4/18/2025 18:34,浦东新区 祝桥镇 航城路 靠近 施湾二路口（单位自处）（到场处置）,杂物,惠南大队（八大队）,祝桥镇,实警,江镇站,室外烧杂物,祝桥专职队,4/18/2025 18:35,4/18/2025 18:36,4/18/2025 18:38,11.0,4/18/2025 18:46,是,出水处置,外,4/18/2025 18:35
4/18/2025 17:51,浦东新区 南码头路街道 浦三路12弄（海浦小区)2号1201室(误报),居民,世博大队（七大队）,南码头路街道,虚警,临沂站,烧锅子,临沂六村微站,4/18/2025 17:52,4/18/2025 17:52,4/18/2025 17:55,25.0,4/18/2025 18:01,否,了解情况,内,4/18/2025 17:51
4/18/2025 16:16,浦东新区 高桥镇西新村尖角圩33号农村自建房（专职队处置）（到场处置）,居民,保税大队（四大队）,高桥镇,实警,高桥站,杂物间烧杂物,西新村微站,4/18/2025 16:17,4/18/2025 16:17,4/18/2025 16:30,35.0,4/18/2025 16:32,是,出水处置,内,4/18/2025 16:17
4/18/2025 15:22,浦东新区 祝桥镇 和艺森路88号（消防处置）（到场处置）,杂物,惠南大队（八大队）,祝桥镇,实警,江镇站,室外烧杂草,江镇微站,4/18/2025 15:23,4/18/2025 15:23,4/18/2025 15:28,31.0,4/18/2025 15:35,是,出水处置,外,4/18/2025 15:22
4/18/2025 14:17,浦东新区 惠南镇 西门路27号（听潮五村）62号102室（误报）（到场未处置）,居民,惠南大队（八大队）,惠南镇,虚警,惠南站,误报、无着火冒烟。,南门微站,4/18/2025 14:18,4/18/2025 14:18,4/18/2025 14:21,8.0,4/18/2025 14:26,否,了解情况,内,4/18/2025 14:18
4/18/2025 12:45,浦东新区 川沙新镇 南桥路51弄（曙光小区）3号101室（误报）（到场未处置）,居民,川沙大队（三大队）,川沙新镇,虚警,川沙站,烧锅子,城厢南市微站,4/18/2025 12:46,4/18/2025 12:47,4/18/2025 12:55,67.0,4/18/2025 12:53,否,排查,内,4/18/2025 12:46
4/18/2025 9:55,浦东新区 上钢新村街道 长清路177弄（德州六村）32号502室（误报）,居民,世博大队（七大队）,上钢新村街道,虚警,周渡站,烧锅子,济阳三村微站,4/18/2025 9:56,4/18/2025 9:57,4/18/2025 9:57,50.0,4/18/2025 10:04,否,了解情况,内,4/18/2025 9:55
4/18/2025 9:40,浦东新区 惠南镇 通济路280弄19号农村自建房（居民处置）（到场处置）,居民,惠南大队（八大队）,惠南镇,实警,惠南站,厨房烧杂物,南门微站,4/18/2025 9:43,4/18/2025 9:43,4/18/2025 9:50,29.0,4/18/2025 9:52,否,警戒,内,4/18/2025 9:41
4/18/2025 9:06,浦东新区 泥城镇 云水路 靠近 彭平公路 （消防处置）（到场处置）,杂物,临港大队（九大队）,泥城镇,实警,泥城站,室外烧杂物,彭镇微站,4/18/2025 9:08,4/18/2025 9:08,4/18/2025 9:11,12.0,4/18/2025 9:18,否,排查,外,4/18/2025 9:07
4/18/2025 6:53,浦东新区 张江镇 中科路 轨交十三号线 张江路站1号口门口（EB）（误报）（到场未处置）,车辆（电瓶车）,川沙大队（三大队）,张江镇,虚警,张江站,误报，电动自行车刹车片冒烟,川杨新苑社区微站,4/18/2025 6:54,4/18/2025 6:54,4/18/2025 6:58,14.0,4/18/2025 7:04,否,了解情况,外,4/18/2025 6:53
4/18/2025 6:51,浦东新区 金杨新村街道 云山路1045弄(金杨新村二街坊)22号402室（消防处置）（到场处置）,居民,陆家嘴大队（一大队）,金杨新村街道,实警,庆宁站,厨房内烧灶台及柜子,灵山微站,4/18/2025 6:51,4/18/2025 6:54,4/18/2025 7:00,139.0,4/18/2025 7:00,否,警戒,内,4/18/2025 6:51
4/17/2025 20:07,浦东新区 新场镇祝桥村528号门口（居民处置）（到场未处置）,杂物,惠南大队（八大队）,新场镇,实警,航头站,室外烧杂物,祝桥村微站,4/17/2025 20:09,4/17/2025 20:10,4/17/2025 20:16,23.0,4/17/2025 20:26,否,监护,外,4/17/2025 20:08
4/17/2025 19:53,浦东新区 高东镇  金京路 靠近 高宝路口（祭扫）（燃烧物质燃尽）（到场未处置）,杂物,保税大队（四大队）,高东镇,实警,五洲站,室外烧杂物,华高微站,4/17/2025 19:54,4/17/2025 19:54,4/17/2025 19:56,16.0,4/17/2025 19:59,否,监护,外,4/17/2025 19:53
4/17/2025 19:10,浦东新区 北蔡镇 高科西路下南路口 东侧公交车站边上路灯（误报）（到场未处置）,电线,三林大队（六大队）,北蔡镇,虚警,塘东站,误报，无着火情况,华绣路微站,4/17/2025 19:10,4/17/2025 19:11,4/17/2025 19:15,71.0,4/17/2025 19:19,否,监护,外,4/17/2025 19:10
4/17/2025 18:25,浦东新区 张江镇 申江路 靠近 军民公路（驻防车出动）（微站处置）（到场处置）,杂物,川沙大队（三大队）,张江镇,实警,张江站,室外烧杂物,孙建微站,4/17/2025 18:27,4/17/2025 18:28,4/17/2025 18:34,46.0,4/17/2025 18:43,否,监护,外,4/17/2025 18:26
4/17/2025 7:47,浦东新区 祝桥镇 南祝路255号（祝顺苑）24号504室（误报）（到场未处置）,居民,惠南大队（八大队）,祝桥镇,虚警,祝桥站,烧锅子,祝桥微站,4/17/2025 7:48,4/17/2025 7:49,4/17/2025 7:53,72.0,4/17/2025 7:59,否,监护,内,4/17/2025 7:47
4/16/2025 21:34,浦东新区 三林镇 懿行路 靠近 林恒路 康德家园门口（消防处置）（到场处置）,杂物,三林大队（六大队）,三林镇,实警,林南站,室外烧杂物,懿德微站,4/16/2025 21:35,4/16/2025 21:36,4/16/2025 21:41,27.0,4/16/2025 21:41,否,监护,外,4/16/2025 21:34
4/16/2025 18:26,浦东新区 康桥镇 御叶路 靠近 御秀路 北面50米（居民处置）（到场未处置）,杂物,三林大队（六大队）,康桥镇,实警,永泰站,室外烧杂物,御桥微站,4/16/2025 18:27,4/16/2025 18:28,4/16/2025 18:36,60.0,4/16/2025 18:43,否,监护,外,4/16/2025 18:27
4/16/2025 12:01,浦东新区 大团镇 永春北路177号附近（误报）,杂物,临港大队（九大队）,大团镇,虚警,大团站,室外烧杂物,大团微站,4/16/2025 12:02,4/16/2025 12:02,4/16/2025 12:06,10.0,4/16/2025 12:17,是,出水处置,外,4/16/2025 12:02
4/16/2025 11:44,浦东新区 老港镇 通源西路 靠近近老芦公路 加油站东侧厂门口（误报）,杂物,临港大队（九大队）,老港镇,虚警,老港站,厂区内烧杂物,滨海微站,4/16/2025 11:44,4/16/2025 11:45,4/16/2025 11:50,44.0,4/16/2025 11:57,是,出水处置,外,4/16/2025 11:44
4/16/2025 9:58,浦东新区 康桥镇 拯安路 康城学校 后面北侧树林里（消防处置）（到场处置）,杂物,三林大队（六大队）,康桥镇,实警,申江站,室外烧杂物,橫沔微站,4/16/2025 10:00,4/16/2025 10:00,4/16/2025 10:02,12.0,4/16/2025 10:08,否,监护,外,4/16/2025 9:59
4/16/2025 8:58,浦东新区 泥城镇 正茂路1397弄(新元芳菲苑)44号1201室（误报）（到场未处置）,杂物,临港大队（九大队）,泥城镇,虚警,泥城站,误报，正常煮饭,云端路微站,4/16/2025 9:00,4/16/2025 9:01,4/16/2025 9:16,45.0,4/16/2025 9:14,否,监护,外,4/16/2025 8:59
4/16/2025 8:02,浦东新区 川沙新镇 S1 往机场方向 不到 川南奉公路 1.5公路（消防处置）（到场处置）,杂物,川沙大队（三大队）,川沙新镇,实警,川沙站,室外烧杂物,江镇微站,4/16/2025 8:03,4/16/2025 8:04,4/16/2025 8:17,79.0,4/16/2025 8:14,否,监护,外,4/16/2025 8:02
